Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
Q96EY1,4719100,51705000,4655300,4606500,15811220,14518000,4029200,8776800,59855000,13235000,21022000,47957994,31398838,2608600,5466900,11187000,4468100,49947000,18542000,15799000,15518000
Q96HP0,14072000,1113900000,1582600000,365330000,1729600000,33104000,29154000,96946000,831288760,172178800,160360000,73612439,13407880,166423390,124919800,539530000,634970000,580060000,1883100000,1346800000,1667000000
Q96M27,71210262,32431000,15464000,22573000,7413100,11891000,9717700,13503714,5584400,15932333,22874000,3734700,6533500,160530000,864260,44291000,16418000,33336000,42721000,31935000,24017000
Q96NT0,134610000,134770000,89732000,113130000,106580000,17512000,26555334,27540450,18557125,77597556,4736400,16966725,501415,86358000,414850000,26249000,55041000,600480000,37728000,33028000,52503000
Q96T23,41614400,184690000,342600000,484380000,59750000,61489000,21411000,134170000,28707580,100870000,176940000,3080400,881610,36588660,18393280,266340000,30605000,97405000,382470000,103780000,780530000
Q99439,8524050,159990000,32570512,12310000,7613900,8865500,10241150,9136600,32850000,7053300,13639000,3909300,386440,7684233,15593000,35511000,10728000,101810000,41385000,13117000,48711000
Q99598,19067970,172550000,165180000,50317206,45326667,8031900,1039300,1210400,4065100,26411528,81360000,7211100,2229017,11676000,18648850,223840000,31308000,78373000,32105000,24297000,14277000
Q99614,22181000,32804000,46236000,33593000,22293000,70064000,36707000,66722000,12379800,14748000,70353000,5990950,31398838,19515880,16399686,69579000,13968150,56654000,59152000,48491000,41843000
Q99747,40853000,29069000,31684000,33954000,44799000,29211622,4353400,28516900,19622000,27720000,68427000,10092100,5726600,6766900,46135000,100670000,18682000,65265000,180100000,42350000,38569000
Q9BPW8,15370000,117040000,101370000,36730000,79524000,17840000,25314660,9860400,28117988,19703408,18606000,19345733,3391620,13474659,838530,247430000,24795000,46717000,24887000,42998000,65886000
Q9BQA1,8420100,26571000,29914000,25010000,11785000,13336000,5662500,14509283,5391650,32577400,46499000,14180000,31398838,86198762,90064923,37736000,25605000,40638000,16293000,8644100,24990000
Q9BQG0,5681800,71469000,13068000,1117200,1268200,2584500,611330,1829800,9746900,15279000,46414000,47957994,31398838,86198762,7411300,30684000,2126700,31789000,2377400,4824900,2066000
Q9BRC7,15028000,4854300,3824600,5061800,9627300,3219900,3114600,2186700,34965695,1529800,3210800,1221693,655200,1088028,3890300,39061000,11330157,5830500,7620978,4738000,4484800
Q9BRK5,15255000,14582000,11739000,15159000,21486644,10812000,87367000,4182800,5035300,21381000,29073000,47957994,198320000,9310500,90064923,13257000,14818000,33780000,6395800,13952000,35814000
Q9BTE6,8230950,7226900,2940300,4919300,18578000,4870400,6928900,10076000,35874900,18937000,8520000,47957994,31398838,9310500,6132200,37092000,6601800,49062278,6975100,8361300,28758000
Q9BU23,24572000,26153000,27723000,15499000,64409000,4209200,75683000,7945600,17884937,14366000,25951000,47957994,31398838,72301140,15850300,147550000,34802000,65586000,98040000,27467000,63577000
Q9BWS9,13379500,10120000,45332000,47484000,12347000,8074200,32128000,18782000,89207100,19435457,13242000,11907800,31398838,7969200,21863500,57560000,14977000,40386000,23337000,20745000,35455000
Q9BZH6,71210262,31876000,16580000,9799500,15093000,12813000,7517400,4234600,7459575,9796700,30897000,2489533,5021450,1340900,90064923,36703000,13081000,17729000,26851000,19391000,20650000
Q9GZN8,14820671,43375000,86966000,52426000,40815000,55050000,22593000,20425000,16227000,22524375,53493000,4379400,1687290,14456000,8389960,83916000,103730000,46996900,115380000,49733000,70662000
Q9H0A8,9231400,37089000,27696000,2689400,2464700,2484800,1633800,5922579,4303650,8108000,37086000,2778400,31398838,86198762,1280100,21478000,3502100,12995000,28495000,22905000,41025000
Q9H0D6,12398425,76065000,31664000,44091000,16355000,21928000,27475000,42624000,14013800,16838629,38031000,7655100,8627200,13321333,9443567,44053000,9193300,69282000,19862000,17586000,15336000
