Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
O00170,1002400,264920000,77973000,53329000,35962000,29680000,27150000,89497000,5429400,53955000,56093000,1404100,624790,10089000,7680300,142820000,38554000,73348000,55363000,32483000,67028000
O00203,19582000,277510000,70955000,44511000,46226000,90544000,49622000,10590000,3039700,11644000,73526000,1073300,428230,27073000,12165000,220850000,20057000,95088000,145520000,43779000,102500000
O00233,11771000,27956000,88100000,188160000,5779500,91897000,77275000,19345000,26546000,63357000,66404000,123120000,2490800,39958000,12026000,322550000,55170000,162720000,82205000,81046000,117130000
O00264,46692000,380790000,618970000,319760000,112100000,304330000,122680000,188930000,46148000,321600000,288770000,27035000,5635000,59765000,16203000,1599000000,176750000,963070000,440240000,938200000,189360000
O00299,46273000,582570000,608680000,328960000,508760000,242740000,100470000,131440000,57428000,150240000,328970000,36823000,145510,46570000,62488000,984780000,213950000,325210000,604690000,363120000,596910000
O14773,111920000,1440200000,960460000,1050100000,740870000,498250000,330800000,106740000,51221000,114540000,455350000,15295000,729060,331960000,213590000,808110000,251440000,1029900000,300960000,638200000,625110000
O14818,226700000,879030000,737930000,488610000,196930000,696890000,299120000,151340000,51987000,186990000,677130000,5987700,1150600,152710000,180060000,1190500000,199610000,791720000,392340000,472330000,466190000
O15143,33648000,566050000,212960000,176040000,158240000,247690000,82834000,83760000,42439000,131300000,220430000,24714000,2154700,87259000,66658000,588460000,120040000,391050000,165880000,119530000,512770000
O15144,12256000,615600000,455080000,211290000,317020000,313340000,212970000,227080000,38075000,115020000,243260000,939890,3252700,111200000,38489000,661610000,125050000,441930000,225450000,153110000,410690000
O15145,11973000,362140000,148600000,150570000,128390000,11475000,4688000,11219000,8996700,30992000,149440000,1337600,311150,74687000,22122000,239680000,137420000,362840000,79799000,51389000,148950000
O15173,30129000,175040000,89174000,108150000,86893000,72745000,47327000,84874000,18569000,16311000,68395000,26194000,1126500,22915000,10268000,187400000,22831000,189610000,169300000,91043000,70571000
O15230,10401000,474840000,50691000,1847300,27738000,83332000,12963000,63462000,27944000,14798000,22899000,364710,57397,6533300,36268000,121610000,157560000,193140000,108350000,192330000,12328000
O43143,18653000,340040000,92823000,80736000,37717000,101210000,73251000,71332000,10880000,38804000,156000000,1867900,5998700,2900900,6042400,280830000,19465000,214180000,75523000,64335000,59643000
O43237,17364000,413320000,75295000,122690000,53729000,48821000,9835800,29235000,3471900,28960000,72348000,23057000,20460000,15516000,24128000,99835000,66233000,186990000,67027000,112500000,93759000
O43390,30765000,681810000,259050000,222560000,165460000,137190000,176570000,111270000,56208000,179310000,215250000,8612300,730890,79023000,44292000,667110000,112000000,479580000,169540000,192240000,271290000
O43491,181390000,498200000,306310000,650350000,330180000,350560000,201710000,140930000,87547000,157520000,668470000,30901000,2142200,113250000,90643000,1091400000,248240000,756080000,505600000,515590000,717150000
O43707,149050000,1413500000,522250000,536660000,445570000,416410000,675330000,328770000,148510000,437350000,797670000,82262000,3710500,169280000,62296000,1705200000,322560000,1675600000,513820000,515080000,838370000
O43776,13295000,81313000,89207000,106730000,41432000,34920000,68890000,49217000,5596000,27771000,157540000,23579000,1605400,36274000,1772800,181720000,40413000,135140000,117540000,64693000,96459000
O75083,52350000,705200000,428560000,490350000,320390000,78873000,129270000,114680000,94598000,95123000,307680000,7616100,456190,136980000,56925000,848630000,176250000,693170000,660990000,233190000,674470000
O75131,33933000,334260000,164160000,120220000,142140000,160020000,41879000,27658000,5487500,88147000,94598000,572170,1883800,10250000,10677000,413890000,59945000,257620000,167520000,192350000,122540000
O75367,31180000,827370000,233430000,326830000,130400000,323860000,87056000,337180000,40941000,183370000,316850000,14737000,1415500,25675000,17839000,1884100000,204690000,777600000,203210000,406640000,115010000
O75369,122440000,3915400000,2074900000,2024300000,1151100000,1574600000,296700000,672800000,124850000,641790000,954260000,125900000,2535400,312810000,219300000,2733500000,318150000,2458900000,1312700000,982880000,1440600000
O75390,156580000,385250000,296570000,163290000,118180000,161160000,162770000,75445000,22048000,113540000,210410000,61517000,10413000,92932000,49948000,437090000,83084000,532130000,147960000,206890000,134890000
O75396,18241000,233090000,137880000,96283000,78075000,37989000,9500600,45305000,1569000,89789000,77742000,8467900,389270,22479000,11224000,160900000,40995000,145180000,137770000,135310000,98382000
O75643,37806000,1175600000,458000000,226850000,173010000,280520000,198270000,67730000,399190000,278500000,523260000,174870000,7615300,28709000,20083000,1165700000,91310000,645440000,295970000,183000000,47133000
O75781,59502000,432520000,215060000,194440000,111500000,167300000,34671000,227330000,20698000,30829000,103660000,26825000,571560,29479000,67879000,355530000,48259000,333690000,229860000,367700000,147560000
O94979,19860000,323820000,81259000,197320000,157800000,78838000,70749000,29110000,1506900,120000000,155480000,1616000,559200,34786000,4185400,325630000,51293000,246250000,125000000,89592000,182390000
O95782,52496000,296540000,123990000,181560000,71213000,44440000,80368000,43651000,11201000,71491000,128430000,1013700,7344100,30940000,31551000,219450000,42822000,168140000,96740000,71158000,134400000
O95865,39311000,977260000,480230000,660450000,356820000,146100000,34263000,196180000,70501000,135210000,162810000,50093000,1299800,81665000,71809000,946850000,289520000,493620000,365390000,245510000,590280000
P00338,357520000,5243400000,1382900000,1622200000,2635200000,2123400000,414150000,1499400000,262620000,546460000,1151900000,85492000,4379000,500640000,508470000,2133700000,422810000,1145500000,4642900000,3645100000,1905600000
P00352,881740000,481160000,512960000,1237900000,2632300000,744800000,162590000,159000000,1550600000,26546000,138250000,12405000,68774000,521170000,296400000,1011200000,378800000,779680000,271090000,970090000,595500000
P00367,81557000,617430000,320250000,318470000,66199000,150350000,122480000,117580000,21352000,75634000,183320000,14850000,422200,67949000,65247000,452420000,90561000,464410000,296320000,372620000,95371000
P00387,81805000,585150000,539210000,127640000,321760000,105150000,56044000,126410000,43899000,79206000,265310000,80607000,1586400,115480000,59389000,805160000,132790000,725750000,1354400000,494920000,434830000
P00441,136760000,2027500000,853420000,1060600000,326650000,380420000,228810000,265250000,487790000,75689000,291320000,209410000,224200000,143550000,114410000,1603900000,169730000,2071000000,1022500000,619310000,760400000
P00450,10577000,399110000,753160000,50033000,378020000,166090000,74522000,172370000,1522400000,30272000,217580000,22195000,1651800,9473100,48380000,190210000,129640000,309270000,683390000,1151000000,232080000
P00505,193090000,545210000,289620000,176680000,134320000,274990000,242610000,98765000,3197400,152680000,227940000,3965200,2974100,94705000,65139000,428110000,82253000,576370000,157420000,274300000,127630000
P00558,447900000,5662900000,2841900000,2197000000,1562700000,2191100000,772480000,736210000,606450000,339650000,1873400000,56570000,10608000,559240000,517960000,3866000000,1417200000,3005900000,3132600000,2106400000,1755900000
P00734,6008300,341150000,180860000,73097000,269490000,243700000,22703000,198100000,815570000,19979000,86333000,5879300,308270,3237500,54122000,87902000,303160000,193420000,259060000,220140000,104530000
P00738,90650000,1838000000,1347800000,356550000,715010000,474420000,155140000,332030000,1504200000,48619000,200990000,7756700,1462800,118580000,371160000,382910000,305850000,256570000,222640000,1224200000,310890000
P00747,4565800,194490000,196950000,83937000,494190000,253970000,42034000,191740000,617250000,46913000,90500000,29025000,1882200,7878800,25816000,135440000,474060000,315610000,240620000,496400000,34241000
P00751,3211000,159390000,154770000,44127000,170900000,87526000,82185000,178600000,947640000,91390000,90495000,1148200,814010,12135000,63132000,142450000,520640000,250930000,159140000,475880000,128420000
P00915,245720000,1041200000,3504100000,729870000,1556600000,1224300000,494140000,3327100000,16972000000,103170000,1094500000,129160000,86100,183820000,321410000,692380000,2972200000,1574700000,2994800000,1147400000,244950000
P00966,261760000,340430000,170780000,354320000,1032100000,396870000,51392000,238040000,11878000,73045000,148690000,1401400,2191000,145950000,33760000,717850000,155570000,363640000,220980000,439130000,962010000
P01009,224940000,1099800000,1468800000,398040000,748000000,537120000,219090000,423840000,2569200000,135670000,808050000,532670000,152750000,119560000,752290000,818220000,895590000,982720000,1772600000,2221100000,701020000
P01011,68937000,971290000,322960000,85503000,179730000,121900000,87685000,121570000,562950000,39161000,105060000,69849000,1369200,103530000,334820000,115230000,337960000,217780000,292750000,539820000,116800000
P01023,48341000,312390000,977820000,108520000,546350000,435100000,295840000,189030000,1664700000,24373000,252920000,96368000,1549500,26354000,71905000,332590000,231300000,485450000,405460000,432390000,273140000
P01024,40497000,543030000,818820000,184020000,593210000,565130000,254760000,429890000,2591600000,88747000,396500000,50451000,1667400,62832000,290120000,501310000,1349000000,928820000,707320000,1016100000,365160000
P01834,115430000,8169900000,8323200000,3004400000,6552400000,1702300000,1601200000,3019300000,12838000000,1214500000,1983200000,303850000,600940000,179570000,349340000,3725600000,4279800000,6274000000,9647500000,7996500000,4360500000
P01859,48909000,3401400000,1493200000,1057900000,1845100000,604340000,522430000,762130000,4139300000,478880000,1166300000,416700000,70463000,88193000,200250000,1834100000,1920700000,2146400000,4334900000,3724900000,1140300000
P01860,38362000,1205400000,687120000,459570000,1020700000,563520000,184090000,146980000,2471300000,278830000,427520000,227560000,22521000,51174000,98500000,982220000,810620000,1396500000,1322500000,938310000,600540000
P01871,33871000,550590000,579840000,96572000,578640000,304010000,105950000,511250000,688100000,20922000,168410000,155220000,76189000,27407000,66314000,697270000,470400000,137690000,416000000,889920000,106140000
P01876,60723000,1040700000,744630000,230690000,1258000000,769600000,192530000,376460000,1914200000,237650000,364490000,112820000,29275000,37378000,158300000,515970000,798910000,801240000,561860000,1422400000,1485500000
P02042,788080000,2646200000,10451000000,2313300000,3242300000,2508400000,1563700000,4587700000,17158000000,151820000,2950500000,117010000,23351000,277100000,1361200000,1966600000,1578500000,6552900000,6069700000,3132600000,654910000
P02452,7960300,3433400000,186620000,3751300000,732930000,957290000,672700000,1092700000,600210000,722350000,788770000,221780000,320810000,39760000,413050000,3673000000,2792600000,2677700000,1715900000,950090000,971660000
P02545,482950000,7026900000,3748900000,3976500000,3306200000,2324500000,1196400000,1607900000,541350000,1599400000,2252100000,703150000,64092000,678640000,1023300000,5415300000,1296200000,4102700000,3238500000,1754400000,2935200000
P02549,34038000,35217000,227110000,11461000,94643000,235980000,33674000,161690000,1844100000,1934400,81671000,338990,454410,12002000,35709000,5971900,162430000,135190000,49439000,176490000,3486600
P02647,40688000,935140000,1881800000,1152600000,1095300000,596760000,502970000,763890000,2688500000,101170000,786970000,443460000,160460000,360060000,586810000,1119600000,999740000,2706300000,1642000000,1373600000,780390000
P02649,50809000,580000000,237850000,461390000,153580000,169050000,55779000,173150000,303120000,65912000,305460000,30377000,17380000,122510000,110530000,538840000,219400000,904100000,161020000,202680000,128470000
P02671,800780000,3625100000,3398300000,756250000,1419600000,8649600000,351820000,2151500000,1413500000,53788000,868370000,146740000,17816000,104550000,555340000,485290000,1777400000,771050000,977120000,1833500000,311510000
P02675,630700000,5227100000,3671600000,945900000,2992800000,12626000000,438050000,3725100000,4142300000,69654000,955790000,53482000,7703000,142250000,591340000,1179000000,3435600000,1302200000,1858900000,2607900000,478490000
P02679,678390000,3715200000,2753700000,909840000,3082300000,7990900000,455160000,2325100000,2787300000,74910000,736250000,44504000,1863800,121500000,660100000,778200000,2179400000,1204500000,1393700000,1974900000,389410000
P02730,49585000,186960000,805210000,72210000,506780000,562400000,138640000,313710000,1360900000,1536400,331260000,175800,269850,3214600,36977000,151530000,407020000,377360000,154260000,444590000,11192000
P02746,1201100,447950000,27961000,23185000,68217000,38363000,14994000,53745000,106640000,6997800,94285000,2036400,1592900,32394000,36398000,41459000,81722000,341140000,46778000,56529000,20013000
P02747,4860800,313520000,100710000,5216700,24102000,96230000,48388000,37217000,80655000,130230000,150510000,88030000,23615000,43100000,109480000,54459000,98072000,37924000,52549000,58382000,752960
P02751,178990000,2233000000,320480000,2764900000,537990000,730810000,241780000,574280000,1353000000,1089800000,1263000000,33405000,4990200,154670000,175250000,4416500000,2829900000,3094100000,5449600000,843120000,1426200000
P02760,6770400,160010000,83876000,43203000,105000000,31829000,6479200,112650000,366950000,21425000,22473000,3631900,4797600,13887000,69541000,22546000,82581000,896110000,164520000,100160000,40972000
P02763,78793000,1896800000,1149600000,235090000,883560000,398220000,245360000,117810000,1204200000,43178000,405610000,149960000,37959000,184200000,333620000,385320000,123160000,597550000,1035700000,1908400000,593870000
P02766,7124000,82212000,316220000,137630000,130940000,22550000,31935000,35475000,381300000,14925000,81441000,24403000,2318600,71198000,93511000,187570000,17662000,499710000,783630000,228220000,120130000
P02768,1339300000,28626000000,31922000000,15102000000,14310000000,9480500000,5321200000,10151000000,43340000000,4420300000,15908000000,1980700000,2917000000,5960400000,7858900000,33512000000,21121000000,33136000000,59315000000,54190000000,20330000000
P02787,133720000,3090200000,4135500000,2825600000,3260300000,1735300000,1229800000,1889500000,6047800000,1119900000,2404600000,669800000,128270000,560200000,981670000,5078000000,2500800000,5131700000,9300600000,10462000000,2917300000
P02790,15604000,969980000,941290000,496230000,780370000,360180000,298940000,317450000,890340000,102700000,397250000,39403000,141620,153280000,141890000,535020000,410070000,1121000000,1803200000,1685800000,395610000
P04004,7174000,1509900000,702090000,438120000,694550000,626010000,113750000,964830000,2166800000,101140000,477560000,88680000,9168800,30788000,88356000,461640000,1566300000,1645200000,800920000,1420300000,169280000
P04040,89040000,559910000,515460000,234530000,368370000,418420000,177780000,163380000,1048600000,102160000,195570000,11777000,373640,60873000,44874000,556090000,229720000,369880000,271210000,207990000,185460000
P04075,336200000,5743900000,1648400000,2995900000,1289400000,2416300000,447150000,566900000,301670000,729750000,1792400000,80339000,27108000,718460000,527960000,3871300000,813420000,3990700000,2418000000,3251700000,1805400000
P04080,135830000,1979100000,2579000000,1622500000,1969500000,715820000,373150000,412510000,97068000,201790000,461290000,7946700,3336200,123040000,669000000,3720000000,555010000,2261900000,3632600000,1237900000,1846300000
P04083,194370000,2793300000,1949100000,1779500000,1121700000,1779400000,1369100000,344440000,272580000,616810000,1568800000,37880000,3230300,225100000,202730000,4311900000,553610000,2028000000,1544800000,1822800000,1097200000
P04114,114810,15595000,64455000,5139000,137780000,23528000,5389400,56170000,560570000,470830,53950000,504300,134770,560010,16128000,31192000,62762000,169970000,46168000,27075000,10628000
P04264,73249000,575770000,258420000,201180000,118230000,412500000,188220000,132820000,461050000,580980000,148870000,76992000,444840,169410000,29690000,416340000,1154900000,349140000,148650000,259130000,184350000
P04406,528190000,22989000000,9742300000,8054000000,3254400000,3957600000,1213000000,2345400000,1797600000,698630000,4175800000,56338000,35367000,855020000,880570000,10567000000,3493300000,10313000000,9248600000,6042400000,5931500000
P04439,44290000,321370000,403750000,273460000,421560000,197320000,410080000,170140000,49128000,131310000,423040000,12064000,2959700,72703000,6016100,587220000,178290000,223510000,622570000,617220000,479110000
P04632,65005000,1384500000,999190000,519100000,463280000,789080000,66016000,175750000,65547000,131690000,576400000,5677800,171610,106140000,87883000,902260000,132120000,471250000,656070000,313500000,725480000
P04843,28879000,596850000,201350000,322910000,237900000,200370000,141160000,72461000,28400000,182170000,301950000,1369700,433890,49497000,21435000,665360000,128600000,637780000,244990000,264170000,246010000
P04899,108420000,1375400000,1059500000,993440000,895460000,612510000,313680000,173910000,91469000,481600000,1127800000,84356000,29024000,219810000,152660000,1927600000,393260000,1242900000,819080000,841410000,1458400000
P05023,216110000,2954600000,968210000,1273300000,937510000,751650000,463600000,188880000,90151000,312020000,857960000,117850000,1352800,126790000,107830000,1599700000,310540000,1743800000,235220000,266440000,1417400000
P05091,651250000,9511000000,919680000,2186900000,881560000,1347100000,122090000,456940000,120490000,468800000,1206600000,185350000,24359000,590110000,418780000,2662400000,596580000,6103000000,253590000,346780000,1255900000
P05388,93789000,867950000,246970000,353490000,211080000,240770000,110000000,61859000,78037000,257620000,482160000,9217400,378360,102860000,52536000,846240000,131310000,721410000,303950000,270040000,249930000
P05556,18565000,576030000,164930000,221570000,189880000,145140000,80740000,129310000,10355000,47033000,282130000,2009300,594460,13336000,9859900,422210000,74119000,254280000,146180000,247290000,172170000
P05783,414790,31604000,11371000,13237000,21310000,163760000,3379600,32407000,955050,9921900,55813000,2142600,430920,61351000,21459000,12506000,816130,2455800000,33548000,440020000,1747200
P06396,178530000,8243100000,3772600000,2253400000,2628100000,1971400000,1307800000,1159000000,691780000,911020000,2310600000,320070000,23551000,488350000,678970000,5367300000,1526400000,4090400000,2373700000,2393800000,3587400000
P06576,282590000,4150000000,1120100000,934820000,524650000,793090000,482980000,211170000,151340000,237890000,911970000,35027000,4569300,253870000,215580000,3321100000,331490000,3023600000,973130000,1038000000,575040000
P06727,1324100,125460000,47175000,113750000,115190000,22813000,57680000,8038700,212230000,788780,56888000,79431000,488490,33698000,123060000,25757000,33518000,289030000,208230000,119830000,39943000
P06733,89591000,3056900000,2333100000,2239300000,1258300000,859510000,429270000,766350000,464320000,249700000,1394200000,39461000,15929000,239350000,232590000,3267700000,1240600000,2414800000,1837800000,1531200000,2083800000
P06744,260260000,2303900000,785070000,952490000,798100000,705830000,418940000,485810000,313770000,312820000,1087000000,2061900,374520,273370000,167650000,1836800000,605230000,1195900000,1406100000,795240000,1029700000
P07099,101770000,3499300000,874340000,317540000,385370000,640310000,19414000,276670000,83780000,244140000,573490000,307480000,6103100,194020000,92155000,1808300000,322020000,3668200000,667210000,712120000,617960000
P07195,712590000,1563900000,3071000000,1624700000,538800000,1599400000,513770000,549650000,283230000,263960000,2560400000,83407000,13570000,679560000,215300000,3930100000,638570000,2753800000,1033400000,1123800000,2139400000
P07237,106050000,1420100000,585570000,998540000,454090000,472420000,546840000,432660000,138190000,339600000,716090000,49753000,1093600,219750000,229990000,1683400000,321950000,1377700000,662050000,715350000,596490000
P07305,15781000,215710000,296370000,105820000,9911100,46385000,10171000,17381000,14417000,1330200,229390000,3534700,1873000,149900000,6241300,278320000,70948000,54133000,159740000,59976000,17466000
P07339,111030000,687860000,558730000,253620000,165680000,501080000,89882000,91162000,39125000,26213000,230170000,912590,614500,92469000,44336000,334810000,143500000,527000000,303010000,321650000,224860000
P07355,913140000,23127000000,8639100000,12785000000,9861700000,12191000000,230030000,3648500000,1257300000,3443300000,5437300000,652640000,292410000,1440800000,956730000,13083000000,2954800000,12751000000,13318000000,7792700000,10928000000
P07384,59855000,393910000,305220000,146330000,142920000,59107000,56767000,68842000,75866000,121490000,179850000,1312700,408130,48901000,33019000,613280000,139610000,260860000,184830000,144490000,354020000
P07585,1532800,3172000000,58520000,483790000,133010000,268700000,14578000,149000000,9445000000,282330000,55552000,3337100,339540,30526000,957830000,365710000,459990000,109260000,508040000,701150000,171370000
P07602,269200000,1302700000,1003700000,800230000,201800000,547370000,524310000,291680000,47808000,77141000,494290000,48790000,1877700,175340000,277030000,461710000,28007000,1018300000,754950000,313560000,295030000
P07737,242730000,4034300000,1588800000,2043900000,973330000,1328800000,376410000,1192000000,372680000,818310000,1502400000,64732000,6150800,351870000,235880000,2809300000,1189100000,2284200000,972400000,1282700000,1251800000
P07814,20331000,331440000,119700000,130570000,91088000,160840000,118730000,11012000,3946200,89344000,233720000,975340,1661700,24827000,23419000,450080000,12364000,228750000,108260000,33566000,61078000
P07900,530160000,4107000000,2365100000,2654300000,979140000,2436500000,1522500000,1043200000,490530000,1092300000,2019200000,213600000,17251000,487640000,402260000,3497400000,776910000,3652400000,1057300000,1267000000,1725700000
P07910,142150000,1965400000,709220000,734620000,242540000,450110000,579260000,174870000,87595000,148390000,747120000,56071000,3190500,179180000,189260000,1795200000,353380000,1098000000,457350000,509560000,562660000
P07942,2878400,402250000,43895000,29942000,3418200,107780000,5875000,104530000,7309000,67238000,152330000,1194600,604230,5534800,16195000,160480000,63106000,291830000,154620000,48712000,11825000
P08123,210440000,11612000000,1513000000,9415600000,482760000,915900000,368010000,758920000,769190000,2601900000,1754500000,1295200000,707270000,380700000,1288700000,5327400000,16219000000,2408400000,3476700000,3791200000,3025200000
P08133,206560000,1240100000,961590000,775310000,369300000,414290000,172160000,364750000,172760000,179910000,783890000,125290000,10466000,198380000,134110000,1394100000,444330000,1262800000,1188300000,486760000,741350000
P08134,123180000,777340000,550310000,588070000,260270000,285850000,114120000,82894000,133590000,186100000,467340000,64663000,26996000,221570000,97740000,777300000,171040000,838110000,360650000,336720000,455970000
P08238,215040000,1500400000,645560000,695630000,382650000,396880000,372110000,278140000,88617000,449510000,958990000,38028000,801860,212320000,195270000,1563000000,363840000,995680000,832130000,613350000,683710000
P08559,22701000,617090000,71187000,86739000,12408000,35617000,52767000,24952000,2134900,58327000,74081000,3217300,215470,28169000,21718000,238080000,40398000,276760000,101240000,37550000,20051000
P08572,46155000,255710000,60704000,8703900,24875000,153010000,401020000,16262000,12241000,71439000,62993000,14435000,2118900,20692000,4417400,46980000,162600000,114160000,71128000,46115000,33500000
P08670,2396200000,45174000000,49992000000,16431000000,23840000000,9419800000,740960000,21194000000,9638200000,6530200000,16552000000,848610000,464670000,3466400000,5225900000,62550000000,32979000000,25342000000,54364000000,49868000000,46971000000
P08758,792400000,3530000000,4227400000,1553300000,1495400000,1717200000,468450000,1445600000,367530000,365400000,1750600000,268720000,41794000,574760000,454210000,4403900000,1012600000,2553900000,3004700000,2247300000,1821200000
P09104,21259000,348750000,660940000,71619000,406030000,277020000,224490000,27491000,12185000,26036000,35138000,7173600,587090,15892000,51265000,64841000,21350000,89119000,540610000,431000000,58849000
P09211,255140000,4991200000,3295900000,1866900000,883900000,1012000000,654670000,959040000,710850000,1364700000,1077200000,187820000,30991000,273410000,124690000,5056800000,1699700000,4127700000,2857600000,1594200000,3516900000
P09382,624620000,6864300000,6280300000,2618500000,2178000000,2160300000,2170700000,2416400000,584400000,351810000,2151600000,318520000,66162000,197750000,374830000,7187700000,1222800000,3801500000,8569400000,2395100000,5260000000
P09417,97878000,175460000,344050000,51080000,14263000,57701000,118840000,23887000,18093000,52094000,68373000,2553200,1324300,46266000,25943000,432320000,54667000,428540000,29785000,47251000,99538000
P09429,297860000,3782800000,1909900000,1774200000,488850000,709370000,648990000,878060000,159020000,408260000,1071600000,199860000,12409000,392160000,241950000,4789400000,568270000,3228300000,1119100000,1037200000,919800000
P09493,445520000,2437200000,1877800000,2237600000,450120000,1074300000,439430000,921810000,375560000,225990000,2393700000,220590000,17281000,439250000,513480000,4415100000,106130000,2934000000,2122100000,1254800000,1654800000
P09525,147060000,833870000,395740000,188890000,664430000,1146000000,110030000,221850000,77713000,328700000,456520000,82212000,1776000,69383000,81606000,1607000000,257100000,1331700000,419900000,285910000,615660000
P09543,42384000,76504000,579880000,50909000,59118000,25913000,530980000,27570000,1953600,58574000,71832000,6766900,407050,1863500,9001100,80873000,12769000,24692000,26661000,37269000,95502000
P09622,106780000,1064900000,717800000,310580000,157900000,212070000,82044000,193160000,13908000,45473000,642370000,8736700,2228000,63704000,27823000,1154700000,39863000,580840000,442990000,333240000,164350000
P09651,162640000,3152700000,634150000,1311000000,306150000,1077600000,621530000,365350000,121990000,661000000,1433700000,51426000,189650,172600000,83430000,3097000000,418280000,2660400000,439480000,829030000,817660000
P09936,70188000,981640000,828600000,651410000,380610000,243960000,312690000,15065000,27718000,32816000,256790000,134450000,3628900,1530500,38885000,1296800000,137890000,865480000,198220000,197070000,982120000
P09960,29654000,275530000,326810000,118770000,181760000,129230000,109110000,111540000,4138800,56928000,155330000,4860900,29166,18027000,8233500,472090000,151590000,405300000,92542000,182570000,191310000
P09972,121980000,687910000,845070000,292770000,423390000,264650000,183500000,85734000,59657000,171860000,171700000,24248000,1601700,41188000,10250000,444670000,186480000,429410000,340200000,924470000,280130000
P0C0L5,9011400,82717000,334430000,55359000,290100000,245510000,37613000,101280000,766590000,32969000,110610000,7938900,49226,1148000,79055000,116960000,452100000,377030000,229170000,93536000,89424000
P0DMV9,259180000,2567000000,3010500000,897880000,836690000,999980000,942650000,230390000,310970000,671190000,1140100000,64123000,6605700,121150000,214790000,3734900000,749650000,2067300000,1112100000,1491900000,1579900000
P0DOX5,373050000,5199700000,5528300000,2014100000,3739200000,2319900000,1363300000,1550500000,7893100000,1044500000,1543600000,843980000,287000000,701120000,692620000,4088700000,4129800000,4050000000,6519300000,5863700000,3885500000
P0DOY3,646720000,7079300000,10872000000,4361700000,2052900000,2233900000,951930000,726260000,5831900000,882750000,1627300000,398080000,183210000,946690000,560390000,3720600000,4948200000,6363000000,13919000000,13602000000,6642000000
P0DP25,119040000,2913900000,1294200000,1095600000,804430000,1316400000,651270000,862210000,368860000,612490000,648650000,101060000,18031000,154350000,41980000,3675900000,601050000,3273100000,1431200000,822850000,946690000
P10301,62653000,198830000,38838000,58229000,24616000,46945000,8522400,28488000,4424000,7243500,31903000,12670000,1614900,41217000,22109000,30549000,10702000,98559000,56608000,51868000,22406000
P10412,660070000,1666200000,1152900000,1357500000,345030000,271980000,443890000,447200000,434430000,123360000,1303900000,203070000,92004000,217430000,216280000,3846700000,1026800000,2045000000,1309500000,1851300000,239250000
P10599,76074000,630220000,498040000,293570000,130760000,367730000,56689000,28732000,75673000,79955000,573580000,88045000,18340000,116460000,34221000,886900000,66924000,514500000,632370000,254680000,264210000
P10768,14703000,489990000,295580000,159560000,159730000,128690000,93350000,56405000,104550000,99906000,103930000,1048100,1165600,11282000,11261000,611340000,103160000,269520000,451320000,246010000,284090000
P10809,337270000,3085800000,1018300000,1103400000,431730000,829220000,608040000,599070000,137350000,554410000,1283100000,1490400,284860,255420000,219410000,2105600000,548210000,2625200000,944510000,624910000,513910000
P10909,44350000,707870000,863920000,528150000,554090000,556580000,52884000,1296900000,743600000,161750000,235520000,110390000,444170,42077000,282520000,777120000,609060000,1912000000,693410000,736880000,407450000
P11021,141640000,3690600000,1130300000,1454500000,805510000,1146700000,967860000,787370000,219340000,566330000,1074300000,18437000,912680,174970000,183790000,2362900000,536640000,2228300000,991940000,859190000,1208200000
P11047,8078000,778540000,228050000,224730000,123620000,118590000,88545000,319970000,102520000,88872000,208760000,1731100,427460,11604000,44134000,368600000,238320000,543250000,419100000,310460000,76764000
P11142,446720000,7857100000,3810700000,3919300000,2014400000,2290400000,1059200000,1212400000,709010000,962800000,3370700000,152780000,10786000,544900000,510120000,7054500000,1960300000,6069200000,3485000000,2673200000,3252100000
P11216,38054000,458760000,749120000,144660000,539350000,477650000,308400000,207100000,46646000,78593000,229110000,3364500,108580,38896000,34483000,417010000,223520000,469500000,274450000,149650000,304660000
P11277,33315000,42053000,149240000,7622600,89362000,159890000,20939000,79492000,938150000,2639400,62148000,1153800,231810,690340,9357800,24110000,121430000,75661000,44681000,28175000,2035300
P11413,95160000,266390000,345080000,191670000,248390000,140240000,65761000,313960000,63493000,5471700,544880000,5848300,1198700,308120000,50158000,365570000,238980000,1019500000,427000000,207110000,129870000
P11766,111660000,399650000,392200000,309130000,219520000,237020000,284010000,92460000,42910000,102110000,184800000,13217000,629690,69257000,17810000,919190000,122690000,371890000,334170000,168880000,586910000
P12109,88893000,2553000000,1239000000,704120000,1080900000,895200000,894560000,967250000,1686100000,2195500000,912540000,28973000,272900,155530000,184360000,1216200000,2012100000,2416900000,1807700000,687860000,822810000
P12110,74217000,1377100000,548500000,233550000,547400000,528900000,689860000,955830000,927920000,1443300000,420880000,87549000,7865300,78540000,100530000,659640000,1041800000,1295700000,789500000,325610000,431370000
